searge,name,side,desc
m_100013_,updateList,0,
m_100016_,loadPackIcon,0,
m_100035_,lambda$init$1,0,
m_100039_,closeWatcher,0,
m_100040_,populateLists,0,
m_100041_,reload,0,
m_100046_,pollForChanges,0,
m_100049_,watchDir,0,
m_10004_,build,2,
m_10005_,experience,2,
m_10007_,addExperience,2,
m_100088_,showHoverOverlay,0,
m_10009_,recipe,2,
m_100104_,cacheName,0,
m_100109_,cacheDescription,0,
m_10011_,addRecipe,2,
m_100140_,clear,0,
m_100141_,get,0,
m_100143_,addIngredient,0,
m_100147_,setRecipe,0,
m_100158_,size,0,
m_100159_,getRecipe,0,
m_100169_,getX,0,
m_100170_,getY,0,
m_100171_,getItem,0,
m_100184_,getRecipeCollection,0,
m_100194_,init,0,
m_100204_,setVisible,0,
m_100206_,getLastRecipeClicked,0,
m_100212_,isVisible,0,
m_100297_,hasClickedOutside,0,
m_100309_,init,0,
m_100328_,lambda$initVisuals$0,0,
m_100330_,lambda$updateCollections$5,0,
m_100335_,pirateSpeechForThePeople,0,
m_100351_,updateTabs,0,
m_100359_,lambda$updateCollections$3,0,
m_100367_,lambda$updateCollections$2,0,
m_100369_,setVisible,0,
m_100382_,updateCollections,0,
m_100384_,toggleVisibility,0,
m_100385_,isVisible,0,
m_100386_,tick,0,
m_100387_,recipesUpdated,0,
m_100388_,sendUpdateSettings,0,
m_100389_,updateStackedContents,0,
m_100391_,toggleFiltering,0,
m_100392_,checkSearchStringUpdate,0,
m_100393_,isOffsetNextToMainGUI,0,
m_100408_,getLastClickedRecipe,0,
m_100409_,mouseClicked,0,
m_10040_,lambda$verifyLoginAndFinishConnectionSetup$0,2,
m_100428_,init,0,
m_100432_,addListener,0,
m_100434_,recipesShown,0,
m_100436_,updateCollections,0,
m_100439_,getLastClickedRecipeCollection,0,
m_100440_,setInvisible,0,
m_100441_,getMinecraft,0,
m_100442_,getRecipeBook,0,
m_100443_,updateButtonsForPage,0,
m_100444_,updateArrowButtons,0,
m_100449_,updateVisibility,0,
m_10044_,handleCustomQueryPacket,2,
m_100451_,startAnimation,0,
m_100455_,getCategory,0,
m_100471_,getCollection,0,
m_100479_,init,0,
m_100482_,isOnlyOption,0,
m_100488_,getRecipe,0,
m_100490_,getOrderedRecipes,0,
m_100498_,hasKnownRecipes,0,
m_100499_,updateKnownRecipes,0,
m_100501_,canCraft,0,
m_100506_,isCraftable,0,
m_100508_,allRecipesHaveSameResult,0,
m_100510_,getRecipes,0,
m_100512_,hasCraftable,0,
m_100513_,getDisplayRecipes,0,
m_100515_,hasFitting,0,
m_100516_,getRecipes,0,
m_100517_,hasSingleResultItem,0,
m_10053_,disconnect,2,
m_10056_,getUserName,2,
m_100594_,getEntryNarationMessage,0,
m_100596_,onHiddenOrShown,0,
m_100600_,getPlayerName,0,
m_100608_,lambda$new$2,0,
m_100618_,getPlayerId,0,
m_100619_,setRemoved,0,
m_100621_,getStatusComponent,0,
m_10064_,getAddress,2,
m_100659_,nbtTag,2,
